"Category ID","Category Name","Attribute ID",Option
1,"BEDROOM > BEDROOM SETS",color,White
1,"BEDROOM > BEDROOM SETS",color,Black
1,"BEDROOM > BEDROOM SETS",color,Orange
1,"BEDROOM > BEDROOM SETS",color,Maroon
1,"BEDROOM > BEDROOM SETS",color,Red
1,"BEDROOM > BEDROOM SETS",color,Yellow
1,"BEDROOM > BEDROOM SETS",color,"Lime green"
1,"BEDROOM > BEDROOM SETS",color,Salmon
1,"BEDROOM > BEDROOM SETS",color,Green
1,"BEDROOM > BEDROOM SETS",color,"Sky blue"
1,"BEDROOM > BEDROOM SETS",color,Crimson
1,"BEDROOM > BEDROOM SETS",color,Aqua
1,"BEDROOM > BEDROOM SETS",color,Grey
1,"BEDROOM > BEDROOM SETS",color,Purple
1,"BEDROOM > BEDROOM SETS",color,Mustard
1,"BEDROOM > BEDROOM SETS",color,Peach
1,"BEDROOM > BEDROOM SETS",color,Violet
1,"BEDROOM > BEDROOM SETS",color,Magenta
1,"BEDROOM > BEDROOM SETS",color,Coral
1,"BEDROOM > BEDROOM SETS",color,Saffron
1,"BEDROOM > BEDROOM SETS",color,Brown
1,"BEDROOM > BEDROOM SETS",color,Pink
1,"BEDROOM > BEDROOM SETS",color,Tan
1,"BEDROOM > BEDROOM SETS",color,Teal
1,"BEDROOM > BEDROOM SETS",color,"Navy Blue"
1,"BEDROOM > BEDROOM SETS",color,Turquoise
1,"BEDROOM > BEDROOM SETS",color,Lavender
1,"BEDROOM > BEDROOM SETS",color,Beige
1,"BEDROOM > BEDROOM SETS",color,"Lemon yellow"
1,"BEDROOM > BEDROOM SETS",color,"Grape vine"
1,"BEDROOM > BEDROOM SETS",color,Indigo
1,"BEDROOM > BEDROOM SETS",color,Fuchsia
1,"BEDROOM > BEDROOM SETS",color,Amber
1,"BEDROOM > BEDROOM SETS",color,"Sea green"
1,"BEDROOM > BEDROOM SETS",color,"Dark green"
1,"BEDROOM > BEDROOM SETS",color,Burgundy
1,"BEDROOM > BEDROOM SETS",color,Charcoal
1,"BEDROOM > BEDROOM SETS",color,Bronze
1,"BEDROOM > BEDROOM SETS",color,Cream
1,"BEDROOM > BEDROOM SETS",color,Mauve
1,"BEDROOM > BEDROOM SETS",color,Olive
1,"BEDROOM > BEDROOM SETS",color,Cyan
1,"BEDROOM > BEDROOM SETS",color,Silver
1,"BEDROOM > BEDROOM SETS",color,Rust
1,"BEDROOM > BEDROOM SETS",color,Ruby
1,"BEDROOM > BEDROOM SETS",color,Azure
1,"BEDROOM > BEDROOM SETS",color,Mint
1,"BEDROOM > BEDROOM SETS",color,Pearl
1,"BEDROOM > BEDROOM SETS",color,Ivory
1,"BEDROOM > BEDROOM SETS",color,Tangerine
1,"BEDROOM > BEDROOM SETS",color,"Cherry red"
1,"BEDROOM > BEDROOM SETS",color,Garnet
1,"BEDROOM > BEDROOM SETS",color,Emerald
1,"BEDROOM > BEDROOM SETS",color,Sapphire
1,"BEDROOM > BEDROOM SETS",material,Plastic
1,"BEDROOM > BEDROOM SETS",material,Metals
1,"BEDROOM > BEDROOM SETS",material,Wood
1,"BEDROOM > BEDROOM SETS",material,Paper
1,"BEDROOM > BEDROOM SETS",material,"Natural Textiles"
1,"BEDROOM > BEDROOM SETS",material,"Synthetic Textiles"
1,"BEDROOM > BEDROOM SETS",material,Leather
1,"BEDROOM > BEDROOM SETS",material,Fibers
1,"BEDROOM > BEDROOM SETS",design,modern
